lead_id,industry,service,lead_source,budget_inr,first_response_hours,followup_count,converted,days_to_conversion
1,CA/Accounting,Automation,Referral,25000,7,3,0,
2,Retail,Chatbot,Email,35000,11,4,0,
3,Manufacturing,Training/Courses,Instagram,150000,10,2,1,13.0
4,Logistics,AI/ML Solution,Referral,25000,8,4,0,
5,Professional Services,Mobile App,Instagram,15000,8,2,1,4.0
6,Hospitality,Chatbot,Referral,250000,8,3,0,
7,Education,Data Analytics,Website,100000,2,3,1,14.0
8,E-commerce,Data Analytics,Website,150000,10,5,1,27.0
9,Real Estate,Chatbot,Website,250000,1,2,0,
10,Retail,Chatbot,WhatsApp,15000,10,3,0,
11,CA/Accounting,Data Analytics,LinkedIn,35000,14,5,0,
12,Logistics,Chatbot,Website,50000,3,3,0,
13,Logistics,Chatbot,Cold Outreach,50000,9,2,0,
14,Hospitality,AI/ML Solution,Cold Outreach,15000,7,4,0,
15,Real Estate,AI/ML Solution,LinkedIn,75000,2,3,0,
16,Healthcare,E-commerce Development,WhatsApp,15000,14,1,0,
17,Healthcare,Website Development,Instagram,50000,10,4,0,
18,Logistics,Data Analytics,Website,35000,12,3,1,10.0
19,Real Estate,Website Development,LinkedIn,150000,3,5,0,
20,E-commerce,E-commerce Development,WhatsApp,25000,2,3,0,
21,Professional Services,Training/Courses,Cold Outreach,100000,6,5,0,
22,E-commerce,E-commerce Development,Referral,50000,6,4,0,
23,Logistics,Website Development,WhatsApp,75000,10,3,0,
24,Professional Services,Website Development,Website,250000,14,3,0,
25,Manufacturing,Mobile App,WhatsApp,25000,8,5,1,42.0
26,Professional Services,Training/Courses,Website,25000,5,4,1,26.0
27,Hospitality,AI/ML Solution,Website,35000,10,0,0,
28,Real Estate,Data Analytics,Referral,75000,12,4,1,17.0
29,Professional Services,Mobile App,Website,25000,13,0,1,11.0
30,E-commerce,Chatbot,Referral,250000,8,0,1,26.0
31,Education,Mobile App,Instagram,250000,11,2,0,
32,Manufacturing,Mobile App,WhatsApp,25000,3,2,0,
33,Hospitality,Mobile App,Instagram,75000,5,1,0,
34,Hospitality,AI/ML Solution,WhatsApp,250000,9,3,0,
35,Retail,E-commerce Development,Cold Outreach,25000,8,3,0,
36,Retail,Mobile App,Website,100000,7,5,1,37.0
37,Healthcare,Website Development,Email,100000,12,5,0,
38,Retail,Mobile App,Instagram,150000,1,2,1,16.0
39,CA/Accounting,Automation,Email,75000,3,0,0,
40,Hospitality,E-commerce Development,Email,50000,7,5,0,
41,Healthcare,Training/Courses,LinkedIn,25000,9,1,1,15.0
42,Hospitality,Data Analytics,Website,75000,3,0,1,34.0
43,Logistics,Chatbot,Cold Outreach,150000,4,5,1,41.0
44,E-commerce,Website Development,Email,75000,13,2,1,15.0
45,CA/Accounting,AI/ML Solution,Instagram,75000,7,2,0,
46,Hospitality,Data Analytics,Website,35000,12,1,0,
47,Healthcare,Mobile App,Website,35000,14,0,1,30.0
48,CA/Accounting,E-commerce Development,WhatsApp,50000,12,3,0,
49,Manufacturing,Mobile App,Referral,100000,14,5,0,
50,Healthcare,Data Analytics,Instagram,100000,10,3,0,
51,Logistics,E-commerce Development,Website,35000,14,0,0,
52,Healthcare,Website Development,WhatsApp,25000,11,5,1,15.0
53,Real Estate,Training/Courses,WhatsApp,150000,9,2,1,10.0
54,Professional Services,Training/Courses,Referral,75000,11,0,0,
55,Education,E-commerce Development,Instagram,150000,1,2,1,26.0
56,Retail,Automation,WhatsApp,250000,11,5,1,26.0
57,E-commerce,Automation,Website,50000,9,3,0,
58,Manufacturing,Website Development,Website,50000,1,1,0,
59,Real Estate,Chatbot,Cold Outreach,35000,14,1,0,
60,Real Estate,Automation,Instagram,25000,5,0,0,
61,CA/Accounting,Training/Courses,WhatsApp,150000,11,0,0,
62,Healthcare,AI/ML Solution,Referral,50000,12,5,1,34.0
63,E-commerce,Data Analytics,Website,150000,1,0,1,4.0
64,CA/Accounting,Mobile App,Website,250000,5,3,0,
65,Retail,Data Analytics,Email,150000,6,3,1,19.0
66,Logistics,Mobile App,WhatsApp,150000,6,4,0,
67,Real Estate,E-commerce Development,Referral,15000,6,5,0,
68,Hospitality,AI/ML Solution,Cold Outreach,250000,1,0,0,
69,Hospitality,E-commerce Development,Referral,25000,6,4,0,
70,Education,Mobile App,Email,150000,12,2,1,28.0
71,E-commerce,E-commerce Development,Referral,75000,3,2,1,9.0
72,Hospitality,Chatbot,Instagram,35000,4,0,0,
73,Retail,E-commerce Development,Email,50000,7,1,0,
74,Hospitality,Data Analytics,WhatsApp,35000,11,3,0,
75,Education,E-commerce Development,LinkedIn,75000,2,5,0,
76,Education,AI/ML Solution,Email,35000,7,3,1,4.0
77,Retail,AI/ML Solution,Cold Outreach,250000,1,5,0,
78,Professional Services,Training/Courses,WhatsApp,100000,5,2,1,43.0
79,Hospitality,AI/ML Solution,Referral,25000,3,2,0,
80,Professional Services,Training/Courses,WhatsApp,75000,3,3,0,
81,Real Estate,Website Development,Instagram,25000,8,0,0,
82,Real Estate,Training/Courses,Referral,15000,11,0,1,40.0
83,CA/Accounting,Data Analytics,Cold Outreach,75000,8,3,0,
84,Retail,E-commerce Development,Email,150000,14,0,0,
85,Professional Services,Website Development,Referral,50000,13,1,1,20.0
86,Hospitality,Training/Courses,Email,35000,2,5,0,
87,CA/Accounting,Training/Courses,Website,100000,13,0,1,6.0
88,Retail,AI/ML Solution,Website,50000,1,5,0,
89,Professional Services,Training/Courses,Email,35000,4,2,0,
90,Hospitality,Data Analytics,Instagram,150000,1,3,0,
91,Manufacturing,Data Analytics,WhatsApp,15000,6,5,0,
92,Hospitality,E-commerce Development,Instagram,25000,6,5,0,
93,E-commerce,Mobile App,Instagram,75000,6,2,0,
94,Logistics,AI/ML Solution,Instagram,25000,5,5,0,
95,Logistics,AI/ML Solution,Instagram,75000,1,4,1,21.0
96,Manufacturing,AI/ML Solution,Email,25000,4,2,0,
97,Real Estate,Mobile App,WhatsApp,100000,1,3,0,
98,Healthcare,E-commerce Development,WhatsApp,150000,13,5,0,
99,E-commerce,Data Analytics,Website,100000,3,3,1,26.0
100,Real Estate,AI/ML Solution,LinkedIn,100000,13,0,0,
101,Professional Services,Chatbot,LinkedIn,35000,3,3,0,
102,Healthcare,E-commerce Development,Instagram,25000,13,4,0,
103,E-commerce,Website Development,WhatsApp,100000,1,2,1,27.0
104,Logistics,AI/ML Solution,Email,150000,10,5,0,
105,Healthcare,AI/ML Solution,LinkedIn,35000,8,5,1,34.0
106,Professional Services,Website Development,Referral,100000,6,1,1,44.0
107,Education,Training/Courses,Email,75000,2,1,0,
108,Professional Services,Chatbot,Email,50000,1,0,0,
109,Real Estate,Training/Courses,Cold Outreach,50000,7,4,0,
